     0.00000000    -22.88575608    0.0000000000   4874.0979494164  591.3359333872   -4.5229066128
     0.00000000    -20.85068735    0.0000000000   4870.2163094164  587.0961053874   -4.8810946126
     0.00000000    -19.00062486    0.0000000000   4870.1022094164  586.6090111341   -5.2540888659
     0.00000000    -17.31874987    0.0000000000   4869.9923094164  586.1132960638   -5.6399039362
     0.00000000    -15.78977261    0.0000000000   4869.8845094164  585.6092133182   -6.0361866818
     0.00000000    -14.39979328    0.0000000000   4869.7774094164  585.0980138274   -6.4402861726
     0.00000000    -13.13617571    0.0000000000   4869.6689094164  584.5804499907   -6.8493500093
     0.00000000    -11.98743247    0.0000000002   4869.5576094164  584.0580599733   -7.2604400267
     0.00000000    -10.94312042    0.0000000013   4869.4428094164  583.5330435441   -7.6706564559
     0.00000000     -9.99374584    0.0000000061   4869.3266094164  583.0102430442   -8.0772569558
     0.00000000     -9.13067804    0.0000000242   4869.2097094164  582.4928435467   -8.4777564533
     0.00000000     -8.34607094    0.0000000857   4869.0949094164  581.9858041049   -8.8699958951
     0.00000000     -7.63279177    0.0000002704   4868.9871094164  581.4958275424   -9.2521724576
     0.00000000     -6.98435615    0.0000007697   4868.8891094164  581.0271707191   -9.6228292809
     0.00000000     -6.39486923    0.0000019929   4868.8051094164  580.5851920949   -9.9808079051
     0.00000000     -5.85897203    0.0000047339   4868.7351094164  580.1708297518  -10.3251702482
     0.00000000     -5.37179275    0.0000103946   4868.6721094164  579.7779008673  -10.6550991327
     0.00000000     -4.92890250    0.0000212479   4868.6301094164  579.4212120933  -10.9697879067
     0.00000000     -4.52627500    0.0000406948   4868.5951094164  579.0876685172  -11.2683314828
     0.00000000     -4.16025000    0.0000734567   4868.5741094164  578.7853668060  -11.5496331940
     0.00000000     -3.82750000    0.0001256415   4868.5601094164  578.5086571855  -11.8123428145
     0.00000000     -3.52500000    0.0002046386   4867.6291094164  577.3351650766  -12.0548349234
     0.00000000     -3.25000000    0.0003066860   4644.9151094164  354.4008290466  -12.2751709534
     0.00000000     -3.00000000    0.0003900157   4545.6321094164  254.9219304052  -12.4710695948
     0.00000000     -2.75000000    0.0004577964   4544.5401094164  253.6437055960  -12.6572944040
     0.00000000     -2.50000000    0.0005166525   4544.5121094164  253.4449077040  -12.8280922960
     0.00000000     -2.25000000    0.0005631369   4544.4911094164  253.2736950312  -12.9783049688
     0.00000000     -2.00000000    0.0005945155   4544.4771094164  253.1338024087  -13.1041975913
     0.00000000     -1.75000000    0.0006089352   4544.4491094164  253.0060609556  -13.2039390444
     0.00000000     -1.50000000    0.0006055353   4544.4421094164  252.9251823267  -13.2778176733
     0.00000000     -1.25000000    0.0005845022   4544.4281094164  252.8608049715  -13.3281950285
     0.00000000     -1.00000000    0.0005470481   4545.4851094164  253.8867929193  -13.3592070807
     0.00000000     -0.75000000    0.0004876381   4640.1047094164  348.4894319065  -13.3761680935
     0.00000000     -0.50000000    0.0004124459   4867.4611094164  575.8375604323  -13.3844395677
     0.00000000     -0.25000000    0.0003671269   4868.5251094164  576.8980217013  -13.3879782987
     0.00000000      0.00000000    0.0003527963   4868.5321094164  576.9040640367  -13.3889359633
     0.00000000      0.25000000    0.0003671159   4868.5321094164  576.9050236500  -13.3879763500
     0.00000000      0.50000000    0.0004124221   4867.4751094164  575.8515642930  -13.3844357070
     0.00000000      0.75000000    0.0004875995   4640.1187094164  348.5034376024  -13.3761623976
     0.00000000      1.00000000    0.0005469957   4545.5201094164  253.9218003299  -13.3591996701
     0.00000000      1.25000000    0.0005844384   4544.4701094164  252.9028139361  -13.3281860639
     0.00000000      1.50000000    0.0006054617   4544.4911094164  252.9741926513  -13.2778073487
     0.00000000      1.75000000    0.0006088540   4544.5051094164  253.0620724261  -13.2039275739
     0.00000000      2.00000000    0.0005944296   4544.5401094164  253.1968148068  -13.1041851932
     0.00000000      2.25000000    0.0005630497   4544.5611094164  253.3437081481  -12.9782918519
     0.00000000      2.50000000    0.0005165674   4544.5891094164  253.5219213512  -12.8280786488
     0.00000000      2.75000000    0.0004577171   4544.6241094164  253.7277196103  -12.6572803897
     0.00000000      3.00000000    0.0003899452   4545.7231094164  255.0129446437  -12.4710553563
     0.00000000      3.25000000    0.0003066282   4644.9606094164  354.4463433793  -12.2751566207
     0.00000000      3.52500000    0.0002045948   4867.7271094164  577.4331793808  -12.0548206192
     0.00000000      3.82750000    0.0001256114   4868.6651094164  578.6136713454  -11.8123286546
     0.00000000      4.16025000    0.0000734372   4868.6861094164  578.8973807199  -11.5496192801
     0.00000000      4.52627500    0.0000406829   4868.7141094164  579.2066820964  -11.2683179036
     0.00000000      4.92890250    0.0000212412   4868.7561094164  579.5472252615  -10.9697747385
     0.00000000      5.37179275    0.0000103911   4868.8051094164  579.9109135590  -10.6550864410
     0.00000000      5.85897203    0.0000047322   4868.8681094164  580.3038419117  -10.3251580883
     0.00000000      6.39486923    0.0000019921   4868.9311094164  580.7112036776   -9.9807963224
     0.00000000      6.98435615    0.0000007693   4869.0221094164  581.1601816883   -9.6228183117
     0.00000000      7.63279177    0.0000002703   4869.1201094164  581.6288378702   -9.2521621298
     0.00000000      8.34607094    0.0000000856   4869.2251094164  582.1160137704   -8.8699862296
     0.00000000      9.13067804    0.0000000242   4869.3364094164  582.6195525360   -8.4777474640
     0.00000000      9.99374584    0.0000000061   4869.4477094164  583.1313513503   -8.0772486497
     0.00000000     10.94312042    0.0000000013   4869.5569094164  583.6471511669   -7.6706488331
     0.00000000     11.98743247    0.0000000002   4869.6633094164  584.1637669199   -7.2604330801
